JD–2400000	VRad(m s-1)	sVRAD(m s-1)	group
52511.09845	36.65	3.36	AAT
52654.91588	58.69	4.61	AAT
52784.32722	35.85	3.47	AAT
52857.23029	21.98	4.28	AAT
52857.23795	21.69	4.09	AAT
52857.2456	26.98	3.96	AAT
52861.30634	23.27	5.01	AAT
52946.03964	27.96	3.8	AAT
53007.97796	34.96	3.96	AAT
53041.9541	71.81	4.62	AAT
53042.90882	64.97	5.02	AAT
53215.27726	-8.67	3.6	AAT
53215.28145	-7.71	3.72	AAT
53243.28286	5.18	3.74	AAT
53244.22676	-0.34	3.98	AAT
53246.09313	4.66	4.46	AAT
53246.0962	1.81	4.	AAT
53281.13767	-1.14	3.66	AAT
53509.33002	-0.2	3.45	AAT
53509.33425	7.12	3.56	AAT
53509.33847	4.19	3.54	AAT
53516.32493	13.59	4.63	AAT
53516.32915	-4.04	4.51	AAT
53516.33339	-3.7	4.98	AAT
53516.33763	0.83	4.68	AAT
53570.29483	-21.55	4.05	AAT
53570.29872	-23.58	3.96	AAT
53570.30295	-16.79	3.44	AAT
53570.30718	-16.94	3.59	AAT
53576.21403	-16.37	3.53	AAT
53576.21826	-7.51	3.19	AAT
53576.2225	-5.24	3.35	AAT
53576.22672	-13.42	3.36	AAT
53579.26894	-12.72	3.3	AAT
53579.27317	-13.87	3.41	AAT
53579.2774	-5.75	3.41	AAT
53579.28163	-11.88	3.39	AAT
53632.19189	-41.55	3.5	AAT
53632.19558	-41.37	3.82	AAT
53632.19927	-45.05	3.71	AAT
53632.20299	-41.01	3.9	AAT
53942.21014	-37.31	2.95	AAT
53942.21554	-30.67	2.74	AAT
53942.22094	-33.97	3.43	AAT
53942.22633	-36.68	4.68	AAT
54008.11987	-24.42	3.76	AAT
54008.12353	-19.03	3.72	AAT
54008.12719	-32.67	3.86	AAT
54013.13358	-4.53	3.02	AAT
54013.13839	-16.52	3.07	AAT
54013.14321	-15.03	2.89	AAT
54016.18049	-15.06	2.94	AAT
54016.18589	-22.45	3.3	AAT
54016.19129	-30.43	3.7	AAT
54038.09567	-11.87	3.46	AAT
54038.0999	-16.79	3.66	AAT
54038.10411	-16.25	3.52	AAT
54038.10833	-6.52	3.57	AAT
54120.92108	22.11	3.53	AAT
54120.92529	17.37	3.46	AAT
54120.92951	26.49	3.81	AAT
54255.25735	-35.77	4.13	AAT
54255.26039	-39.3	4.3	AAT
54255.26346	-25.23	4.37	AAT
54334.12468	-47.66	4.78	AAT
54334.13005	-46.74	4.19	AAT
54334.13543	-40.98	4.41	AAT
54374.13871	-29.8	3.62	AAT
54374.14294	-19.91	3.75	AAT
54374.14714	-25.48	3.61	AAT
54428.92197	-6.57	4.44	AAT
54428.92733	-6.5	5.69	AAT
54428.93387	7.05	4.71	AAT
54428.94155	-0.08	4.56	AAT
54428.94924	-4.13	3.12	AAT
54428.95692	-12.65	3.58	AAT
54780.09897	-3.76	3.03	AAT
54780.10558	-1.65	3.11	AAT
54780.11213	-7.56	3.19	AAT
54780.11867	-5.09	3.17	AAT
55076.27792	-61.01	3.91	AAT
55076.2833	-58.25	3.55	AAT
55076.2887	-62.03	3.48	AAT
55101.11333	-21.42	4.21	AAT
55170.90643	-6.98	3.53	AAT
55170.91295	-12.17	3.75	AAT
55170.91951	-7.55	3.47	AAT
55376.32957	-90.22	3.85	AAT
55377.32403	-89.6	5.11	AAT
55377.32764	-86.88	4.62	AAT
55377.33116	-84.62	4.43	AAT
55401.20175	-58.21	3.98	AAT
55401.20713	-58.9	3.7	AAT
55401.21258	-66.33	4.02	AAT
55428.24374	4.95	8.64	AAT
55428.24895	-13.94	6.26	AAT
55428.25389	-33.74	6.58	AAT
55457.1275	-13.44	4.62	AAT
55457.134	-20.04	4.19	AAT
55457.14021	-16.47	4.42	AAT
55518.99307	22.41	3.82	AAT
55518.99962	34.91	3.91	AAT
55519.00617	27.98	3.98	AAT
55521.00295	14.92	4.29	AAT
55521.01051	10.72	4.56	AAT
55521.01823	8.56	4.61	AAT
55751.30731	-35.56	5.97	AAT
55751.31156	-42.33	6.46	AAT
55751.3158	-42.9	6.46	AAT
55757.23169	0.	8.88	AAT
55757.23591	-33.85	10.45	AAT
55757.24015	-54.98	6.48	AAT
55757.24439	-33.51	4.81	AAT
55757.24861	-17.67	5.36	AAT
55757.25285	-27.05	8.8	AAT
55786.24183	14.14	7.37	AAT
55786.24765	-12.86	6.81	AAT
55786.25383	-6.24	6.02	AAT
55786.25972	-4.29	6.28	AAT
55788.32572	-7.62	4.63	AAT
55788.33225	-27.09	4.58	AAT
55845.10086	11.58	4.44	AAT
55845.10631	13.77	4.47	AAT
55845.11166	17.65	4.34	AAT
55874.02678	17.11	4.98	AAT
55874.03277	15.2	4.95	AAT
55874.03826	17.36	6.02	AAT
55874.97612	10.28	4.81	AAT
55874.98142	34.01	7.14	AAT
55874.99045	7.27	8.3	AAT
55897.90581	6.35	4.06	AAT
55897.91084	4.08	3.81	AAT
55897.91594	9.	4.02	AAT
56086.29624	-41.02	4.58	AAT
56086.30711	-42.92	4.07	AAT
56086.31302	-41.66	4.06	AAT
56135.32237	-26.52	4.39	AAT
56135.32998	-14.32	4.24	AAT
56135.33779	-14.75	4.51	AAT
56140.26968	-27.45	5.04	AAT
56140.27278	-17.57	5.95	AAT
56140.27587	-1.38	6.	AAT
56498.26778	15.82	5.9	AAT
56498.27128	9.78	5.43	AAT
56498.27484	18.29	5.98	AAT
56556.10505	46.25	4.5	AAT
56556.11037	38.27	4.56	AAT
56556.11574	37.38	4.68	AAT
56794.32811	-12.16	4.24	AAT
